"Rang";"Name";"Runde";"Datum";"Uhrzeit";"Stadion";"Spiel";"Tipp";"Resultat";"Punkte"
"2";"Amapola M";"2. Runde (18. Juni - 24. Juni)";"23.06.2026";"03:00";"San-Francisco-Bay-Area-Stadion";"Jordanien vs Algerien";"1:2";"1:2";"10"
"2";"Amapola M";"2. Runde (18. Juni - 24. Juni)";"23.06.2026";"17:00";"Houston-Stadion";"Portugal vs Usbekistan";"3:0";"5:0";"6"
"2";"Amapola M";"2. Runde (18. Juni - 24. Juni)";"23.06.2026";"20:00";"Boston-Stadion";"England vs Ghana";"3:0";"0:0";"1"
"2";"Amapola M";"2. Runde (18. Juni - 24. Juni)";"23.06.2026";"23:00";"Toronto-Stadion";"Panama vs Kroatien";"0:3";"0:1";"6"
"2";"Amapola M";"2. Runde (18. Juni - 24. Juni)";"24.06.2026";"02:00";"Guadalajara-Stadion";"Kolumbien vs DR Kongo";"2:0";"1:0";"6"
"2";"Amapola M";"3. Runde (24. Juni - 28. Juni)";"24.06.2026";"19:00";"BC Place Vancouver";"Schweiz vs Kanada";"2:1";"2:1";"10"
"2";"Amapola M";"3. Runde (24. Juni - 28. Juni)";"24.06.2026";"19:00";"Seattle-Stadion";"Bosnien-Herzeg. vs Katar";"2:0";"3:1";"8"
"2";"Amapola M";"3. Runde (24. Juni - 28. Juni)";"24.06.2026";"22:00";"Miami-Stadion";"Schottland vs Brasilien";"0:2";"0:3";"6"
"2";"Amapola M";"3. Runde (24. Juni - 28. Juni)";"24.06.2026";"22:00";"Atlanta-Stadion";"Marokko vs Haiti";"3:0";"4:2";"5"
"2";"Amapola M";"3. Runde (24. Juni - 28. Juni)";"25.06.2026";"01:00";"Monterrey-Stadion";"Südafrika vs Südkorea";"2:0";"1:0";"6"
"2";"Amapola M";"3. Runde (24. Juni - 28. Juni)";"25.06.2026";"01:00";"Mexico-City-Stadion";"Tschechien vs Mexiko";"1:2";"0:3";"5"
"2";"Amapola M";"3. Runde (24. Juni - 28. Juni)";"25.06.2026";"20:00";"New-York-New-Jersey-Stadion";"Ecuador vs Deutschland";"1:1";"2:1";"1"
"2";"Amapola M";"3. Runde (24. Juni - 28. Juni)";"25.06.2026";"20:00";"Philadelphia-Stadion";"Curaçao vs Elfenbeinküste";"0:3";"0:2";"6"
"2";"Amapola M";"3. Runde (24. Juni - 28. Juni)";"25.06.2026";"23:00";"Kansas-City-Stadion";"Tunesien vs Niederlande";"1:3";"1:3";"10"
"2";"Amapola M";"3. Runde (24. Juni - 28. Juni)";"25.06.2026";"23:00";"Dallas-Stadion";"Japan vs Schweden";"1:1";"1:1";"10"
"2";"Amapola M";"3. Runde (24. Juni - 28. Juni)";"26.06.2026";"02:00";"San-Francisco-Bay-Area-Stadion";"Paraguay vs Australien";"1:2";"0:0";"0"
"2";"Amapola M";"3. Runde (24. Juni - 28. Juni)";"26.06.2026";"02:00";"Los-Angeles-Stadion";"Türkei vs USA";"0:2";"3:2";"1"
"2";"Amapola M";"3. Runde (24. Juni - 28. Juni)";"26.06.2026";"19:00";"Boston-Stadion";"Norwegen vs Frankreich";"1:2";"1:4";"6"
"2";"Amapola M";"3. Runde (24. Juni - 28. Juni)";"26.06.2026";"19:00";"Toronto-Stadion";"Senegal vs Irak";"3:0";"5:0";"6"
"2";"Amapola M";"3. Runde (24. Juni - 28. Juni)";"27.06.2026";"00:00";"Guadalajara-Stadion";"Uruguay vs Spanien";"1:2";"0:1";"8"
